lay_down,num_nodes,num_edges,av_ep_reward
23-0.yaml,39,64,
536-0.yaml,39,64,
647-0.yaml,38,60,
324-0.yaml,36,57,
275-0.yaml,39,64,
1167-0.yaml,24,40,
33-0.yaml,24,40,
1526-0.yaml,39,64,
1991-0.yaml,36,57,
130-0.yaml,23,36,
1055-0.yaml,36,57,
1865-0.yaml,36,57,
1314-0.yaml,36,57,
714-0.yaml,49,75,
1989-0.yaml,36,57,
423-0.yaml,36,57,
1811-0.yaml,36,57,
3-0.yaml,49,75,
925-0.yaml,30,48,
1353-0.yaml,49,75,
553-0.yaml,23,36,
1698-0.yaml,24,40,
765-0.yaml,36,57,
1247-0.yaml,39,64,
1749-0.yaml,49,75,
1894-0.yaml,23,36,
936-0.yaml,36,57,
1019-0.yaml,36,57,
1262-0.yaml,36,57,
1395-0.yaml,36,57,
268-0.yaml,30,48,
1636-0.yaml,30,48,
915-0.yaml,24,40,
721-0.yaml,16,27,
675-0.yaml,36,57,
1745-0.yaml,38,60,
1415-0.yaml,36,57,
960-0.yaml,24,40,
1331-0.yaml,38,60,
473-0.yaml,39,64,
1079-0.yaml,38,60,
926-0.yaml,38,60,
723-0.yaml,49,75,
1087-0.yaml,30,48,
1863-0.yaml,36,57,
1934-0.yaml,38,60,
80-0.yaml,38,60,
1229-0.yaml,39,64,
402-0.yaml,24,40,
1634-0.yaml,39,64,
1899-0.yaml,36,57,
1118-0.yaml,36,57,
1034-0.yaml,38,60,
1838-0.yaml,36,57,
315-0.yaml,36,57,
216-0.yaml,36,57,
974-0.yaml,36,57,
365-0.yaml,39,64,
1198-0.yaml,16,27,
1108-0.yaml,16,27,
1096-0.yaml,30,48,
418-0.yaml,23,36,
21-0.yaml,49,75,
808-0.yaml,30,48,
1093-0.yaml,23,36,
1737-0.yaml,36,57,
96-0.yaml,24,40,
532-0.yaml,16,27,
1547-0.yaml,38,60,
1013-0.yaml,39,64,
1166-0.yaml,39,64,
1712-0.yaml,36,57,
1653-0.yaml,24,40,
167-0.yaml,39,64,
247-0.yaml,23,36,
1872-0.yaml,36,57,
387-0.yaml,36,57,
1240-0.yaml,30,48,
1719-0.yaml,36,57,
221-0.yaml,39,64,
391-0.yaml,23,36,
1045-0.yaml,16,27,
1592-0.yaml,38,60,
294-0.yaml,24,40,
1263-0.yaml,49,75,
1826-0.yaml,38,60,
215-0.yaml,38,60,
581-0.yaml,39,64,
705-0.yaml,49,75,
690-0.yaml,24,40,
977-0.yaml,39,64,
503-0.yaml,38,60,
383-0.yaml,39,64,
870-0.yaml,24,40,
1521-0.yaml,36,57,
1969-0.yaml,30,48,
62-0.yaml,38,60,
243-0.yaml,36,57,
1437-0.yaml,24,40,
1921-0.yaml,23,36,
949-0.yaml,23,36,
921-0.yaml,49,75,
300-0.yaml,49,75,
1972-0.yaml,16,27,
588-0.yaml,49,75,
1033-0.yaml,30,48,
1857-0.yaml,49,75,
1261-0.yaml,16,27,
